species	MMR	Qdot
Nymphicus_hollandicus	1.843	0.0000117591684031247
Oena_capensis	1.270	0.00000639594511507528
Geopelia_cuneata	1.550	0.00000650962222603493
Bubulcus_ibis	1.192	0.00004688689584041780
Riparia_riparia	2.209	0.00000369000000000000
Troglodytes_aedon	1.238	0.00000461188230530484
Hirundo_rustica	2.233	0.00000430854293712913
Delichon_urbica	1.207	0.00000582201151398509
Passer_domesticus	2.042	0.00001075443576987180
Turdus_merula	1.033	0.00001547252033019370
Sterna_paradisaea	3.168	0.00003050214809178620
Sterna_hirundo	2.551	0.00003666356523552430
Sterna_fuscata	3.060	0.00004908092812505460
Anous_stolidus	1.682	0.00006366539811384690
Larus_ridibundus	3.709	0.00006038665050851460
Larus_atricilla	3.002	0.00006343763082148120
Rissa_tridactyla	2.341	0.00007225703901629310
Larus_delawarensis	3.317	0.00007503105449770690
Catharacta_maccormicki	2.374	0.00010884699341263500
Synthliboramphus_hypoleucus	6.373	0.00005653407553935320
Cepphus_columba	2.153	0.00007943242687417470
Fratercula_arctica	2.778	0.00008828934312730000
Uria_lomvia	2.035	0.00014334146636758700
Pygoscelis_antarticus	1.599	0.00014972929456208700
Pygoscelis_adeliae	1.279	0.00015412350276804300
Pygoscelis_papua	1.348	0.00016669713903704900
Oceanodroma_leucorhoa	6.572	0.00001999174931090770
Pelecanoides_georgicus	3.306	0.00004039572124422030
Halobaena_caerulea	4.971	0.00007576771741578780
Puffinus_pacificus	2.310	0.00008324853698855290
Thalassoica_antarctica	2.469	0.00012520909678232500
Pterodroma_macroptera	2.002	0.00015784933066620400
Procellaria_cinerea	2.688	0.00018336493192600200
Macronectes_giganteus	1.368	0.00027121010584997200
Rhea_americana	1.284	0.00060086562454847100
Leipoa_ocellata	3.678	0.00020672618486417300
Alectura_lathami	2.776	0.00020749662149732200
Excalfactoria_chinensis	3.597	0.00001165683599998840
Colinus_virginianus	2.902	0.00001763866992114690
Coturnix_coturnix	3.699	0.00001905671738238210
Gallus_gallus	2.622	0.00008989873275825470
Numida_meleagris	2.664	0.00007299858672714070
Meleagris_gallopavo	0.811	0.00012064752986887800
Anas_crecca	8.082	0.00004060123608145480
Anas_platyrhynchos	6.160	0.00006419629746339240
Clangula_hyemalis	8.044	0.00006646292227979510
Aythya_affinis	7.042	0.00006983761799651870
Cairina_moschata	2.691	0.00010573205225863200
Somateria_mollissima	5.897	0.00012217138059191400
Fulica_americana	1.351	0.00004568252271243270
Charadrius_semipalmatus	3.802	0.00001929122028217150
Calidris_alpina	2.337	0.00002138008333956420
Tringa_flavipes	3.317	0.00003157910935824960
Tringa_toanus	3.178	0.00003540478798220670
Gallinagos_media	1.871	0.00003687261479303930
Vanellus_vanellus	2.224	0.00003936535103181150
Pluvialis_dominica	1.906	0.00004507823745930570
Limosa_limosa	2.702	0.00006076948637466850
Numenius_phaeopus	2.880	0.00007114218883130770
Numenius_arquata	2.429	0.00010970945092450300
Enantiornithes_MPCM_LH_26189	NA	0.0000819798669657442
Enantiornithes_IVPP_V_15686	NA	0.0000596081660629834
Phalacrocorax_aristotelis	3.971	0.00061869507100193300
Carduelis_tristis	2.002	0.00000523789479671551
Diomedea_nigripes	1.207	0.00034451067388915600
